path,sha256,bytes,parameter_count,declared_model
model/parameters/coupled-gfed5/params.africacell.json,7abffd99dfe67442b0d2e9320ac43201f4bfc43e38307ef3dbe0c14c54174702,1696,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africafuel.json,0d0f30827867f2a720b3956bf1b4c91228ff88b0d0ca834b6303d1bacfbb6282,1698,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africafuel.k1.json,8c5e834459459ec63f4b08211848e7f88c5e8866d41925e3fdf0428928e571c6,1815,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africafuel.k2.json,084d291bfd933285a084bf263ea1cb2ac18a73961ffcc9024d94b86a95b02e29,1815,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africafuel.k3.json,57b5500b9a718079f13db5a9de00d1d30f18aea9ccafa43d2a86fdc2be511152,1815,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africafuel.k4.json,678812c0a5f1d599873b639c6f82cdb179cb43def50cafd940a2f697e52e1cdf,1809,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africafuel.k5.json,f8179c415f32615aa7fbe138dceefc9600089c6ce1b373a9bbde1181a33151ff,1813,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africafuel.k6.json,565c8a1398292e491cdad05a50b9b603ef02f24dd02354f1b868280260a6ab46,1812,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaho.json,348a433ff57fb1cc46001abd64e593cb460fa48226509470fd99c6766298dd53,1694,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas.json,4041ee5a37441b5016d73655514d5cc8891430e7733fa3dff18d6ed61c0d0e3d,1696,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas.k1.json,16fbec14e82c5f21a570ece5749e0c813a9e5d00ed39b59e86626b3d85a500f7,1810,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas.k2.json,b2d3fd918afb4aabdac104b9780e4a44bb31e4404f1b9cfaa697a751841e6efa,1814,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas.k3.json,7a7a56ee969c65f1598d82f6fdc587945e3aa1546ff3aeabcfa818bc8bb751e9,1815,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas.k4.json,7bf3a241b38604a7536e13312cd5ed990b278e1d8d7cd44f569921da129e30cd,1813,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas.k5.json,2e340dd49d77f1ac51b21ea0c120bc347f089b653e256e3a28276acae082db7c,1819,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas.k6.json,1c0e8617d72ea7694e83328826690d936aaa03128d9931c224316fb7ceb5f23f,1820,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas2.json,8a35d62aa0cd9bf7f914591130cdfbecc090a73013398ba345179dcb4e3089b2,1696,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas2.k1.json,c9c137500fffe827a66bb99311cad641f9a6a2cf4a967618faf1a2f415c0a44f,1810,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas2.k2.json,03312895f50a0190a29363dfc0214f6c5c0ff6be254e609c08a4e98198b1920c,1813,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas2.k3.json,ac5188c4450019dd7efea3b771b361950ed4c8b4c22ab71ec4372a904c8eb3d3,1814,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas2.k4.json,86c76ebf5ae9df1f036daf4c31e496038c801f07728b68757a11488b715c8ef8,1815,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
model/parameters/coupled-gfed5/params.africaseas2.k5.json,6888f33beb789130fd6ca1bad0f1d9bda6f2500c4a6de6c03ca2d460aafe4fbe,1819,16,Model C (coupled-consistent retune; drivers + GPP from Lei's ED dump; GFED5 target)
